name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price
106,15000,2010,1,1,12000,22955.575181995013
107,45000,2013,1,0,50000,72303.0
108,25000,2012,1,0,30000,65800.0
109,35000,2013,1,1,15888,58757.0
110,25000,2013,1,1,26000,47032.0
0,170000,2018,1,1,5600,260163.18539594347
69,25000,2014,1,1,41000,50267.0
45,60000,2007,1,0,19612,91822.30072798005
48,41000,2012,1,1,17000,62745.238830786366
87,35000,2012,1,1,33700,53563.00875798836
111,75000,2015,1,1,100000,79233.0
51,47999,2016,1,1,6000,54605.0
87,36999,2011,1,1,21000,56622.2217439089
90,25000,2007,1,1,80000,85011.0
76,60000,2016,1,1,15000,91822.30072798005
64,50000,2007,1,1,46000,74295.0
112,65000,2013,1,1,11000,118997.0
113,12000,2007,1,1,72000,18364.46014559601
58,60000,2015,1,1,50000,92074.0
69,20000,2010,1,1,50000,50267.0
10,27000,2011,1,1,67000,78712.0
114,10000,2000,1,1,30000,15303.716787996675
115,56000,2015,1,1,48000,85700.81401278138
115,58000,2015,1,1,48000,88761.55737038072
116,87000,2018,1,1,8000,133142.33605557107
117,35000,2015,1,1,15500,52949.0
90,35000,2012,1,1,45000,85011.0
118,40000,2014,1,0,60855,64071.0
103,56000,2017,1,0,37714,64589.0
90,30000,2008,1,0,60000,85011.0
70,40000,2017,1,1,26000,61545.0
80,60000,2019,1,1,6000,91822.30072798005
94,40000,2013,1,1,30000,86744.0
119,40000,2018,1,1,17000,61214.8671519867
120,130000,2015,1,1,34601,168482.0
58,45000,2015,1,1,48000,92074.0
29,42000,2013,1,1,60000,79432.0
121,25000,2012,1,1,44000,38259.29196999169
48,15000,2006,1,1,55000,22955.575181995013
122,170000,2018,1,1,16000,163331.0
123,38000,2016,1,0,20000,59095.0
40,60000,2015,1,0,17500,84042.0
57,65000,2017,1,1,46000,99474.15912197839
124,35000,2011,1,1,30000,75502.0
48,70000,2019,1,1,6500,107126.01751597672
16,15000,2006,1,1,80000,22955.575181995013
125,50000,2017,1,0,10000,52271.0
0,145000,2017,1,1,2200,221903.8934259518
10,25000,2008,1,1,40000,78712.0
30,58000,2016,1,1,21000,80350.0
7,90000,2007,1,1,3500,137733.45109197008
126,9000,2002,1,0,66191,13773.345109197007
127,40000,2014,1,1,50000,63331.0
67,28000,2015,1,1,32800,52372.0
88,50000,2016,1,1,32000,80435.0
128,56000,2019,1,1,3900,58630.0
69,35000,2014,1,1,10000,50267.0
77,95000,2018,1,1,9600,145385.3094859684
87,30000,2010,1,1,46782,45911.150363990026
6,95000,2019,1,1,8000,94703.0
66,40000,2017,1,1,11000,53436.0
94,30000,2014,1,0,51000,86744.0
110,18000,2013,1,1,45000,47032.0
83,14000,2008,1,1,66000,59183.0
63,17000,2010,1,0,50000,26016.318539594347
23,125000,2017,1,1,23500,191296.45984995842
129,20000,2015,1,1,25000,30607.43357599335
130,50000,2017,1,1,41000,56925.0
96,210000,2017,1,1,12000,321378.05254793016
131,70000,2018,1,1,33000,107126.01751597672
132,40000,2017,1,1,15000,55980.0
62,10000,2008,1,1,50000,15303.716787996675
48,35000,2010,1,1,40000,53563.00875798836
133,10000,2005,1,1,50000,15303.716787996675
51,42000,2015,1,1,20000,54605.0
10,20000,2009,1,1,50000,78712.0
132,25000,2017,1,1,55000,52790.0
9,25000,2016,1,1,70350,60122.0
59,145000,2019,1,1,2700,164004.0
134,50000,2016,1,1,20000,76518.58393998338
55,30000,2011,1,1,20000,45911.150363990026
135,60000,2014,1,1,41311,81508.0
136,15000,2005,1,1,65000,22955.575181995013
68,15000,2014,1,0,34000,22955.575181995013
35,25000,2011,1,1,20000,38259.29196999169
137,54000,2019,1,1,11000,82640.07065518205
62,25000,2007,1,1,75000,38259.29196999169
138,260000,2019,1,1,1200,397896.63648791355
34,100000,2014,1,1,19000,199275.0
139,15000,2007,1,1,30000,22955.575181995013
136,20000,2006,1,1,23000,30607.43357599335
24,35000,2014,1,1,10000,56147.0
40,50000,2016,1,1,40000,87042.0
140,90000,2019,1,1,8600,107500.0
78,40000,2016,1,1,45000,67187.0
12,80000,2016,1,1,7200,95955.0
141,20000,2010,1,1,31195,30607.43357599335
64,70000,2017,1,1,18000,74295.0
84,98000,2019,1,1,1000,149976.42452236742
142,75000,2008,1,0,17000,114777.87590997506
32,50000,2016,1,1,46000,67214.0
64,40000,2014,1,1,77592,74295.0
64,75000,2013,1,1,54000,74295.0
64,50000,2013,1,1,17000,74295.0
48,60000,2014,1,1,60000,91822.30072798005
57,50000,2016,1,1,40000,76518.58393998338
1,35000,2014,1,1,25000,53563.00875798836
23,160000,2018,1,1,19000,244859.4686079468
143,25000,2015,1,0,40000,49412.0
8,42000,2010,1,1,51000,64275.61050958603
36,200000,2019,1,1,7600,306074.3357599335
144,40000,2014,1,1,14965,61214.8671519867
75,130000,2015,1,0,25000,181445.0
145,195000,2019,1,1,6000,298422.47736593516
96,270000,2019,1,1,2380,413200.3532759102
146,425000,2017,1,0,13600,599000.0
77,85000,2018,1,1,10000,130081.59269797173
147,125000,2010,1,0,21000,317934.0
148,45000,2018,1,1,10000,54760.0
34,85000,2014,1,0,18600,171646.0
149,85000,2018,1,1,7750,130081.59269797173
150,760000,2019,1,1,2800,752020.0
23,100000,2015,1,1,30000,153037.16787996676
0,95000,2015,1,1,9800,145385.3094859684
32,48000,2015,1,1,25000,67469.0
88,40000,2016,1,1,29689,80435.0
109,37000,2014,1,1,43000,58757.0
124,38000,2014,1,0,28243,75502.0
97,55000,2015,1,1,25000,78316.0
98,45000,2017,1,1,22300,68866.72554598504
151,18000,2009,1,0,33595,44140.0
59,140000,2018,1,1,5505,214252.03503195345
152,70000,2000,1,0,5000,107126.01751597672
136,15000,2007,1,1,30000,22955.575181995013
153,65000,2019,1,1,16000,99474.15912197839
33,42000,2018,1,1,22000,57557.0
154,58000,2012,1,1,40000,88761.55737038072
155,330000,2014,1,0,6500,534000.0
156,35000,2013,1,1,15000,72973.0
0,162000,2018,1,1,17365,247920.21196554613
115,28000,2009,1,1,40000,42850.40700639069
138,285000,2019,1,1,5500,436155.92845790525
0,125000,2017,1,1,33900,191296.45984995842
50,15000,2005,1,1,47670,22955.575181995013
69,29500,2013,1,1,45000,50267.0
157,200000,2019,1,1,5000,306074.3357599335
22,160000,2019,1,1,5700,244859.4686079468
158,30000,2012,1,1,22866,45911.150363990026
18,110000,2019,1,1,10000,133680.0
131,70000,2016,1,1,31000,107126.01751597672
159,69000,2019,1,1,1600,57112.0
10,30000,2011,1,1,44000,78712.0
10,30000,2010,1,1,70000,78712.0
160,42000,2017,1,1,21000,64275.61050958603
0,160000,2018,1,1,17365,244859.4686079468
103,20000,2010,1,1,80000,64589.0
98,45000,2017,1,1,15000,68866.72554598504
103,23000,2010,1,1,77000,64589.0
86,140000,2017,1,0,40000,180525.0
136,12000,2005,1,1,48000,18364.46014559601
130,50000,2017,1,1,18000,56925.0
0,140000,2018,1,1,20000,214252.03503195345
33,55000,2019,1,1,9000,59422.0
159,45000,2016,1,1,56000,54500.0
63,25000,2012,1,1,50000,38259.29196999169
23,90000,2014,1,1,12000,137733.45109197008
161,120000,2018,1,1,11500,183644.6014559601
100,120000,2015,1,1,20000,183644.6014559601
162,35000,2017,1,1,20000,66492.0
80,35000,2017,1,1,27000,53563.00875798836
163,300000,2018,1,1,2500,349000.0
23,87000,2012,1,1,20477,133142.33605557107
136,18000,2010,1,1,35700,27546.690218394015
40,50000,2014,1,1,70000,84042.0
12,60000,2016,1,1,29000,95955.0
136,15000,2004,1,1,14500,22955.575181995013
119,30000,2018,1,1,37000,45911.150363990026
59,160000,2018,1,1,3246,244859.4686079468
64,50000,2016,1,1,27000,74295.0
97,62000,2017,1,1,15000,78316.0
119,45000,2019,1,1,15000,68866.72554598504
23,120000,2017,1,1,4050,183644.6014559601
164,125000,2014,1,1,25000,190874.0
165,50000,2015,1,1,5000,80821.0
48,30000,2012,1,0,5000,45911.150363990026
166,40000,2014,1,1,14000,51600.0
83,41000,2013,1,1,36500,63537.0
23,120000,2017,1,0,9000,183644.6014559601
167,35000,2014,1,1,33200,67722.0
168,10000,1997,1,1,646000,15303.716787996675
57,35000,2011,1,1,25000,53563.00875798836
41,38000,2017,1,1,26000,69750.0
169,50000,2015,1,1,3909,77900.0
51,40000,2015,1,1,7672,54605.0
170,70000,2019,1,1,3000,55600.0
0,140000,2016,1,1,3654,214252.03503195345
143,26500,2016,1,0,40000,53830.0
28,38000,2016,0,1,5500,61600.0
10,60000,2016,1,1,29950,78712.0
171,145000,2017,1,1,14000,221903.8934259518
40,78000,2017,1,1,26100,84480.0
132,58000,2018,1,1,6000,54580.0
18,130000,2017,1,1,4000,132680.0
172,20000,2001,1,1,50000,54852.0
122,150000,2018,1,1,5475,163331.0
90,32000,2012,1,1,40000,85011.0
90,50000,2017,1,1,20500,85011.0
93,120000,2017,1,1,4100,183644.6014559601
88,60000,2016,1,0,23097,80435.0
173,20000,2011,1,1,37734,44756.0
7,65000,2011,1,0,65000,99474.15912197839
17,70000,2016,1,1,8000,117926.0
135,35000,2014,1,1,13500,81508.0
12,95000,2018,1,1,23000,95955.0
48,8000,2005,1,1,58000,12242.97343039734
23,85000,2010,1,1,15000,130081.59269797173
41,65000,2016,1,1,29000,69750.0
19,39000,2013,1,1,20000,59684.49547318703
174,45000,2017,1,1,35000,50280.0
88,60000,2016,1,1,45137,80435.0
175,160000,2018,1,1,7500,204977.0
48,35000,2011,1,1,35600,53563.00875798836
103,40000,2018,1,1,15000,64589.0
26,40000,2012,1,1,7353,84751.0
6,56000,2017,1,0,13200,87543.0
176,22000,2011,1,1,38350,71757.0
177,36000,2014,1,1,20400,54593.0
178,100000,2018,1,1,14500,110240.0
78,42000,2016,1,1,19500,67187.0
45,85000,2008,1,1,20000,130081.59269797173
179,45000,2014,1,1,36000,54586.0
18,145000,2019,1,1,4500,133680.0
180,50000,2013,1,1,38000,85766.0
138,270000,2019,1,1,9000,413200.3532759102
23,60000,2006,1,1,40000,91822.30072798005
181,140000,2017,1,1,25000,181445.0
136,28000,2008,1,1,70889,42850.40700639069
92,180000,2015,1,0,13125,202127.0
90,42000,2014,1,0,19600,85011.0
15,16000,2011,1,1,40000,58314.0
125,40000,2015,1,1,19055,52271.0
90,38000,2012,1,0,57000,85011.0
17,85000,2017,1,1,13000,117926.0
83,28000,2013,1,1,28087,63537.0
93,135000,2018,1,1,24000,206600.1766379551
23,120000,2016,1,1,24600,183644.6014559601
182,37000,2010,1,1,27500,108000.0
183,135000,2015,1,1,45000,189313.0
184,10000,2000,1,1,61000,15303.716787996675
185,20000,2013,1,1,7000,47343.0
57,83299,2019,1,1,6400,127478.43047233351
3,65000,2018,1,1,3500,89643.0
33,50000,2018,1,1,14000,59422.0
121,65000,2013,1,1,6409,99474.15912197839
61,45000,2012,1,0,44000,68866.72554598504
6,60000,2017,1,1,16500,92210.0
49,110000,2015,1,1,36000,168340.88466796343
65,14700,2005,1,0,30000,22496.46367835511
42,38000,2015,1,1,15000,63180.0
98,70000,2018,1,1,14500,107126.01751597672
113,35000,2018,1,1,26600,53563.00875798836
16,19000,2012,1,1,32000,29077.061897193682
186,130000,2019,1,1,3500,198948.31824395678
149,50000,2013,0,1,58203,76518.58393998338
50,18000,2005,1,1,21885,27546.690218394015
187,87000,2019,1,1,3200,93400.0
136,40000,2007,1,1,40000,61214.8671519867
127,35000,2015,1,1,28000,63331.0
34,100000,2011,1,0,3500,171646.0
166,30000,2013,1,1,24000,51600.0
116,95000,2018,1,1,1800,145385.3094859684
82,25000,2012,1,1,76000,58438.0
50,26500,2010,1,1,52500,40554.84948819119
114,12000,2008,1,1,17500,18364.46014559601
48,20000,2006,1,1,41000,30607.43357599335
188,195000,2018,1,1,2845,164095.0
90,14900,2007,1,1,50000,85011.0
24,48000,2018,1,1,7110,56147.0
29,40000,2014,1,1,27785,79432.0
189,45000,2010,1,1,75000,71681.0
87,25000,2010,1,1,20000,38259.29196999169
51,25000,2011,1,1,20000,54605.0
69,10000,2009,1,1,60000,50267.0
190,22000,2009,1,0,20000,44493.0
51,45000,2015,1,1,18000,54605.0
145,135000,2017,1,1,16500,206600.1766379551
117,75000,2017,1,1,15000,52949.0
103,24000,2010,1,1,45000,64589.0
10,45000,2016,1,1,37000,78712.0
130,55000,2017,1,1,14600,54475.0
9,10000,2006,1,1,51000,57549.0
0,135000,2017,1,1,15000,206600.1766379551
64,55000,2017,1,1,12000,74295.0
124,35000,2012,1,1,15000,75502.0
191,20000,1988,1,1,21000,30607.43357599335
48,26000,2012,1,0,65000,39789.66364879136
69,23000,2009,1,1,95000,50267.0
75,150000,2015,1,1,23000,181445.0
65,24700,2012,1,0,40000,37800.18046635179
174,35000,2016,1,0,49637,54080.0
35,12000,2012,1,1,90000,18364.46014559601
0,150000,2017,1,1,7000,229555.75181995012
51,50000,2016,1,1,5326,54605.0
69,25000,2009,1,1,585659,50267.0
192,15000,1999,0,0,10000,22955.575181995013
134,35000,2014,1,0,37541,53563.00875798836
44,45000,2015,1,1,36000,83437.0
24,25000,2013,1,1,29000,56147.0
47,40000,2018,1,1,29000,61214.8671519867
193,17000,2008,1,1,50000,26016.318539594347
167,30000,2016,1,1,18000,67722.0
192,15000,2000,1,1,50000,22955.575181995013
131,60000,2017,1,0,40000,91822.30072798005
63,30000,2013,1,1,20000,45911.150363990026
112,60000,2012,1,1,22000,118997.0
51,32000,2015,1,1,4500,54605.0
105,30000,2012,1,1,50000,54299.0
50,55000,2010,1,1,42000,84170.44233398171
88,75000,2016,1,1,35000,80435.0
160,52000,2017,1,1,25000,79579.32729758271
9,38000,2018,1,1,34000,60122.0
141,12000,2007,1,1,60000,18364.46014559601
32,47000,2017,1,1,73000,64750.0
69,22000,2014,1,1,38000,50267.0
124,65000,2015,1,1,26000,75502.0
119,23000,2013,1,0,24000,35198.548612392355
43,30000,2011,1,1,45000,42859.0
48,35000,2011,1,1,36000,53563.00875798836
88,80000,2017,1,1,30000,80435.0
119,20000,2012,1,1,16295,30607.43357599335
48,16000,2011,1,0,59000,24485.94686079468
48,20000,2006,1,1,9500,30607.43357599335
149,50000,2012,1,1,46000,76518.58393998338
44,40000,2015,1,1,75000,76572.0
103,20000,2010,1,1,80000,64589.0
90,65000,2018,1,1,26000,85011.0
17,85000,2016,1,1,26000,117926.0
63,12000,2007,1,1,100000,18364.46014559601
194,105000,2019,1,1,2900,96500.0
40,40000,2015,1,1,25000,84042.0
105,30000,2011,1,0,39500,54299.0
69,25000,2012,1,1,40000,50267.0
46,40000,2016,1,1,16000,51994.0
195,45000,2017,1,0,21000,49211.0
101,40000,2018,1,1,14000,61214.8671519867
98,70000,2018,1,1,7000,76632.0
69,30000,2012,1,1,22000,50267.0
102,25000,2009,1,1,50000,38259.29196999169
119,20000,2012,1,1,16295,30607.43357599335
6,70000,2017,1,1,35000,87719.0
78,50000,2017,1,1,9000,65626.0
65,25000,2010,1,1,35000,38259.29196999169
48,22000,2011,1,1,60000,33668.17693359269
69,35000,2013,1,1,29500,50267.0
57,40000,2014,1,0,50000,61214.8671519867
131,75000,2016,1,1,10500,114777.87590997506
35,28000,2011,1,0,60000,42850.40700639069
132,55000,2018,1,1,39000,52790.0
1,30000,2014,1,1,24000,45911.150363990026
28,40000,2016,1,1,15000,61600.0
196,85000,2019,1,1,3000,130081.59269797173
65,12000,2007,1,0,100000,18364.46014559601
177,35000,2013,1,1,20350,54593.0
48,25000,2015,1,0,50000,38259.29196999169
48,40000,2012,1,0,37000,61214.8671519867
65,15000,2011,1,1,70000,22955.575181995013
130,55000,2018,1,1,15000,54475.0
90,60000,2015,1,1,28563,85011.0
197,115000,2018,1,1,11000,142680.0
198,5000,1998,1,1,60000,7651.858393998337
87,40000,2015,1,1,21121,61214.8671519867
195,50000,2014,1,1,25000,49211.0
1,28000,2014,1,1,13000,42850.40700639069
63,35000,2013,1,1,55000,53563.00875798836
62,25000,2007,1,0,100000,38259.29196999169
199,20000,2009,1,0,36000,30607.43357599335
90,40000,2013,1,1,34000,85011.0
187,86000,2018,1,1,12000,93400.0
112,65000,2011,1,1,29000,99474.15912197839
88,60000,2017,1,1,30000,80435.0
200,65000,1998,1,0,16500,99474.15912197839
32,41000,2017,1,1,33000,66697.0
201,110000,2017,1,1,11800,129662.0
24,32000,2017,1,1,39000,56147.0
87,37000,2014,1,1,16145,56623.7521155877
170,65000,2019,1,1,1000,55600.0
47,18000,2007,1,0,50000,27546.690218394015
35,28700,2012,1,0,49876,43921.66718155046
51,35000,2016,1,1,51000,54605.0
202,100000,2019,1,1,1300,153037.16787996676
16,21000,2010,1,1,11000,32137.805254793017
50,30000,2010,1,0,55000,45911.150363990026
77,90000,2019,1,1,20000,137733.45109197008
191,6000,1991,1,1,35000,9182.230072798005
47,23500,2010,1,1,60000,35963.73445179219
48,55000,2015,1,0,40000,84170.44233398171
108,35000,2010,1,1,46000,65800.0
192,15000,1998,1,1,65000,22955.575181995013
90,35000,2009,1,1,19000,85011.0
203,40000,2011,1,1,26000,61214.8671519867
204,15000,2009,1,1,86000,22955.575181995013
205,40000,2011,1,0,340000,61214.8671519867
111,75000,2016,1,1,40000,77545.0
116,70000,2016,1,1,10000,107126.01751597672
141,22000,2007,1,1,25000,33668.17693359269
40,80000,2019,1,1,10000,87042.0
48,72000,2017,1,1,24000,110186.76087357606
80,30000,2014,1,0,35000,45911.150363990026
103,25000,2011,1,0,30000,64589.0
81,65000,2018,1,1,6500,99474.15912197839
48,68000,2019,1,1,10000,104065.27415837739
174,27000,2016,1,1,28000,50280.0
5,25000,2015,1,1,35000,57241.0
9,45000,2016,1,1,20000,60122.0
34,200000,2019,1,1,5500,202310.0
90,20100,2008,1,1,36000,85011.0
87,30000,2014,1,1,25000,45911.150363990026
206,30000,2014,1,1,30000,51685.0
207,21000,2011,1,1,101000,47108.0
134,45000,2012,1,1,21000,68866.72554598504
26,45000,2014,1,1,57700,84751.0
208,14500,2012,1,1,44000,22190.38934259518
24,47000,2019,1,1,8800,56147.0
160,26000,2014,1,0,68000,39789.66364879136
26,25000,2013,1,1,120000,84751.0
209,10000,2000,1,1,24000,15303.716787996675
57,50000,2017,1,1,38000,76518.58393998338
1,23000,2010,1,1,40000,35198.548612392355
69,50000,2014,1,1,48000,50267.0
132,46000,2015,1,1,14000,55980.0
6,80000,2017,1,1,18000,87719.0
180,50000,2013,1,1,38000,85766.0
44,40000,2014,1,1,75000,83437.0
6,70000,2017,1,1,35000,87719.0
37,30900,2014,1,1,25000,71150.0
124,65000,2010,1,1,20000,75502.0
136,15000,2006,1,1,100000,22955.575181995013
57,89999,2019,1,1,6400,137731.92072029127
136,17600,2006,1,1,52000,26934.54154687415
119,17000,2007,1,1,16000,26016.318539594347
18,90000,2018,1,1,8200,132680.0
50,35000,2010,1,1,60000,53563.00875798836
17,70000,2017,1,1,16000,117926.0
9,15000,2011,1,1,47000,57549.0
130,35000,2016,1,1,18000,54475.0
69,15000,2006,1,1,50000,50267.0
9,50000,2018,1,1,6000,60122.0
97,69000,2017,1,1,20000,82813.0
148,15000,2011,1,1,65000,54760.0
105,25000,2008,1,1,25000,54299.0
15,30000,2012,1,1,23000,58314.0
94,45000,2014,1,1,5555,86744.0
68,35000,2016,1,1,38000,53563.00875798836
197,120000,2018,1,1,6000,142680.0
63,25000,2015,1,1,45000,38259.29196999169
112,80000,2017,1,1,27000,118997.0
136,10000,2007,1,1,98000,15303.716787996675
57,70000,2018,1,1,16000,107126.01751597672
48,35000,2011,1,1,50000,53563.00875798836
28,40000,2015,1,1,71250,61600.0
47,20000,2006,1,1,28000,30607.43357599335
5,30000,2012,1,1,50000,57241.0
101,8000,2005,1,0,82000,12242.97343039734
203,65000,2013,1,1,6409,99474.15912197839
210,20000,2008,1,1,54000,30607.43357599335
44,45000,2013,1,1,20000,76572.0
52,35000,2013,1,1,50000,78513.0
105,25000,2011,1,1,52000,54299.0
57,15000,2009,1,0,880000,22955.575181995013
30,65000,2017,1,1,23000,78350.0
124,45000,2011,1,1,35000,75502.0
144,45000,2017,1,1,49000,68866.72554598504
131,50000,2011,1,0,55000,76518.58393998338
149,85000,2018,1,0,15100,130081.59269797173
184,25000,2008,1,1,38000,38259.29196999169
64,60000,2017,1,1,12652,74295.0
211,100000,2019,1,1,7000,103170.0
100,180000,2019,1,0,13800,275466.90218394017
